,_id,casosAcumulado,obitosAcumulado,casosNovos,obitosNovos
0,9,2,0,0,0
1,10,19,0,17,0
2,11,121,0,102,0
3,12,1128,18,1007,18
4,13,3912,114,2784,96
5,14,10298,432,6386,318
6,15,20818,1131,10520,699
7,16,36739,2359,15921,1228
8,17,58973,4047,22234,1688
9,18,96559,6750,37586,2703
10,19,155939,10627,59380,3877
11,20,233142,15633,77203,5006
12,21,347398,22013,114256,6380
13,22,498440,28834,151042,6821
14,23,584016,32548,85576,3714
